,LLOC,MATH-1405,MATH-1421
src/main/java/org/apache/commons/math4/Field.java,6,0,0
src/main/java/org/apache/commons/math4/FieldElement.java,13,0,0
src/main/java/org/apache/commons/math4/RealFieldElement.java,61,0,0
src/main/java/org/apache/commons/math4/analysis/BivariateFunction.java,4,0,0
src/main/java/org/apache/commons/math4/analysis/FunctionUtils.java,257,0,0
src/main/java/org/apache/commons/math4/analysis/MultivariateFunction.java,4,0,0
src/main/java/org/apache/commons/math4/analysis/MultivariateMatrixFunction.java,5,0,0
src/main/java/org/apache/commons/math4/analysis/MultivariateVectorFunction.java,5,0,0
src/main/java/org/apache/commons/math4/analysis/ParametricUnivariateFunction.java,5,0,0
src/main/java/org/apache/commons/math4/analysis/RealFieldUnivariateFunction.java,5,0,0
src/main/java/org/apache/commons/math4/analysis/TrivariateFunction.java,4,0,0
src/main/java/org/apache/commons/math4/analysis/UnivariateFunction.java,4,0,0
src/main/java/org/apache/commons/math4/analysis/UnivariateMatrixFunction.java,4,0,0
src/main/java/org/apache/commons/math4/analysis/UnivariateVectorFunction.java,4,0,0
src/main/java/org/apache/commons/math4/complex/Complex.java,427,0,0
src/main/java/org/apache/commons/math4/complex/ComplexField.java,30,0,0
src/main/java/org/apache/commons/math4/complex/ComplexFormat.java,193,0,0
src/main/java/org/apache/commons/math4/complex/ComplexUtils.java,1025,0,0
src/main/java/org/apache/commons/math4/dfp/Dfp.java,1758,0,0
src/main/java/org/apache/commons/math4/dfp/DfpDec.java,226,0,0
src/main/java/org/apache/commons/math4/dfp/DfpField.java,307,0,0
src/main/java/org/apache/commons/math4/dfp/DfpMath.java,523,0,0
src/main/java/org/apache/commons/math4/distribution/AbstractIntegerDistribution.java,115,0,0
src/main/java/org/apache/commons/math4/distribution/AbstractMultivariateRealDistribution.java,29,0,0
src/main/java/org/apache/commons/math4/distribution/AbstractRealDistribution.java,132,0,0
src/main/java/org/apache/commons/math4/distribution/BetaDistribution.java,110,0,0
src/main/java/org/apache/commons/math4/distribution/BinomialDistribution.java,83,0,0
src/main/java/org/apache/commons/math4/distribution/CauchyDistribution.java,82,0,0
src/main/java/org/apache/commons/math4/distribution/ChiSquaredDistribution.java,54,0,0
src/main/java/org/apache/commons/math4/distribution/ConstantRealDistribution.java,55,0,0
src/main/java/org/apache/commons/math4/distribution/EmpiricalDistribution.java,328,0,0
src/main/java/org/apache/commons/math4/distribution/EnumeratedDistribution.java,122,0,0
src/main/java/org/apache/commons/math4/distribution/EnumeratedIntegerDistribution.java,125,0,0
src/main/java/org/apache/commons/math4/distribution/EnumeratedRealDistribution.java,148,0,0
src/main/java/org/apache/commons/math4/distribution/ExponentialDistribution.java,101,0,0
src/main/java/org/apache/commons/math4/distribution/FDistribution.java,116,0,0
src/main/java/org/apache/commons/math4/distribution/GammaDistribution.java,134,0,0
src/main/java/org/apache/commons/math4/distribution/GeometricDistribution.java,78,0,0
src/main/java/org/apache/commons/math4/distribution/GumbelDistribution.java,67,0,0
src/main/java/org/apache/commons/math4/distribution/HypergeometricDistribution.java,151,0,0
src/main/java/org/apache/commons/math4/distribution/IntegerDistribution.java,20,0,0
src/main/java/org/apache/commons/math4/distribution/LaplaceDistribution.java,67,0,0
src/main/java/org/apache/commons/math4/distribution/LevyDistribution.java,75,0,0
src/main/java/org/apache/commons/math4/distribution/LogisticDistribution.java,67,0,0
src/main/java/org/apache/commons/math4/distribution/LogNormalDistribution.java,129,0,0
src/main/java/org/apache/commons/math4/distribution/MixtureMultivariateNormalDistribution.java,33,0,0
src/main/java/org/apache/commons/math4/distribution/MixtureMultivariateRealDistribution.java,87,0,0
src/main/java/org/apache/commons/math4/distribution/MultivariateNormalDistribution.java,114,0,0
src/main/java/org/apache/commons/math4/distribution/MultivariateRealDistribution.java,10,0,0
src/main/java/org/apache/commons/math4/distribution/NakagamiDistribution.java,74,0,0
src/main/java/org/apache/commons/math4/distribution/NormalDistribution.java,123,0,0
src/main/java/org/apache/commons/math4/distribution/ParetoDistribution.java,105,0,0
src/main/java/org/apache/commons/math4/distribution/PascalDistribution.java,98,0,0
src/main/java/org/apache/commons/math4/distribution/PoissonDistribution.java,109,0,0
src/main/java/org/apache/commons/math4/distribution/RealDistribution.java,21,0,0
src/main/java/org/apache/commons/math4/distribution/SaddlePointExpansion.java,114,0,0
src/main/java/org/apache/commons/math4/distribution/TDistribution.java,98,0,0
src/main/java/org/apache/commons/math4/distribution/TriangularDistribution.java,120,0,0
src/main/java/org/apache/commons/math4/distribution/UniformIntegerDistribution.java,75,0,0
src/main/java/org/apache/commons/math4/distribution/UniformRealDistribution.java,83,0,0
src/main/java/org/apache/commons/math4/distribution/WeibullDistribution.java,131,0,0
src/main/java/org/apache/commons/math4/distribution/ZipfDistribution.java,122,0,0
src/main/java/org/apache/commons/math4/exception/ConvergenceException.java,12,0,0
src/main/java/org/apache/commons/math4/exception/DimensionMismatchException.java,20,0,0
src/main/java/org/apache/commons/math4/exception/InsufficientDataException.java,13,0,0
src/main/java/org/apache/commons/math4/exception/MathArithmeticException.java,12,0,0
src/main/java/org/apache/commons/math4/exception/MathIllegalArgumentException.java,8,0,0
src/main/java/org/apache/commons/math4/exception/MathIllegalNumberException.java,16,0,0
src/main/java/org/apache/commons/math4/exception/MathIllegalStateException.java,17,0,0
src/main/java/org/apache/commons/math4/exception/MathInternalError.java,16,0,0
src/main/java/org/apache/commons/math4/exception/MathParseException.java,13,0,0
src/main/java/org/apache/commons/math4/exception/MathRuntimeException.java,33,0,0
src/main/java/org/apache/commons/math4/exception/MathUnsupportedOperationException.java,12,0,0
src/main/java/org/apache/commons/math4/exception/MaxCountExceededException.java,19,0,0
src/main/java/org/apache/commons/math4/exception/MultiDimensionMismatchException.java,31,0,0
src/main/java/org/apache/commons/math4/exception/NoBracketingException.java,36,0,0
src/main/java/org/apache/commons/math4/exception/NoDataException.java,12,0,0
src/main/java/org/apache/commons/math4/exception/NonMonotonicSequenceException.java,45,0,0
src/main/java/org/apache/commons/math4/exception/NotANumberException.java,8,0,0
src/main/java/org/apache/commons/math4/exception/NotFiniteNumberException.java,15,0,0
src/main/java/org/apache/commons/math4/exception/NotPositiveException.java,12,0,0
src/main/java/org/apache/commons/math4/exception/NotStrictlyPositiveException.java,12,0,0
src/main/java/org/apache/commons/math4/exception/NullArgumentException.java,30,0,0
src/main/java/org/apache/commons/math4/exception/NumberIsTooLargeException.java,30,0,0
src/main/java/org/apache/commons/math4/exception/NumberIsTooSmallException.java,30,0,0
src/main/java/org/apache/commons/math4/exception/OutOfRangeException.java,27,0,0
src/main/java/org/apache/commons/math4/exception/TooManyEvaluationsException.java,9,0,0
src/main/java/org/apache/commons/math4/exception/TooManyIterationsException.java,9,0,0
src/main/java/org/apache/commons/math4/exception/ZeroException.java,12,0,0
