,LLOC,DELTASPIKE-1307,DELTASPIKE-1303,DELTASPIKE-1282,DELTASPIKE-1299,DELTASPIKE-1278,DELTASPIKE-1302,DELTASPIKE-1296,DELTASPIKE-1281,DELTASPIKE-1287,DELTASPIKE-1272,DELTASPIKE-1294,DELTASPIKE-1256,DELTASPIKE-1249,DELTASPIKE-1230,DELTASPIKE-1242
deltaspike/cdictrl/api/src/main/java/org/apache/deltaspike/cdise/api/CdiContainer.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/api/src/main/java/org/apache/deltaspike/cdise/api/CdiContainerLoader.java,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/api/src/main/java/org/apache/deltaspike/cdise/api/ContextControl.java,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/impl-openejb/src/main/java/org/apache/deltaspike/cdise/openejb/OpenEjbContainerControl.java,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/MockHttpSession.java,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/MockServletContext.java,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContainerControl.java,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OwbHelper.java,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/impl-weld/src/main/java/org/apache/deltaspike/cdise/weld/WeldContainerControl.java,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/impl-weld/src/main/java/org/apache/deltaspike/cdise/weld/WeldContextControl.java,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/servlet/src/main/java/org/apache/deltaspike/cdise/servlet/CdiServletContextListener.java,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/servlet/src/main/java/org/apache/deltaspike/cdise/servlet/CdiServletRequestListener.java,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/tck/src/main/java/org/apache/deltaspike/cdise/tck/ContainerCtrlTckTest.java,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/tck/src/main/java/org/apache/deltaspike/cdise/tck/beans/Car.java,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/tck/src/main/java/org/apache/deltaspike/cdise/tck/beans/CarRepair.java,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/tck/src/main/java/org/apache/deltaspike/cdise/tck/beans/TestUser.java,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/tck/src/main/java/org/apache/deltaspike/cdise/tck/control/LockedCDIImplementation.java,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/tck/src/main/java/org/apache/deltaspike/cdise/tck/control/LockedContainerVersions.java,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/tck/src/main/java/org/apache/deltaspike/cdise/tck/control/LockedVersionRange.java,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/cdictrl/tck/src/main/java/org/apache/deltaspike/cdise/tck/control/VersionControlRule.java,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/core/api/src/main/java/org/apache/deltaspike/core/spi/InterceptorStrategy.java,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/AggregatedClassLoader.java,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/Annotateds.java,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/AnnotationUtils.java,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/ArraysUtils.java,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/BeanUtils.java,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/ClassDeactivationUtils.java,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/ClassUtils.java,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/CollectionUtils.java,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
