,LLOC,KAFKA-4180,KAFKA-4561,KAFKA-3739,KAFKA-4551,KAFKA-4619,KAFKA-4627,KAFKA-4622,KAFKA-6360,KAFKA-6121,KAFKA-5936,KAFKA-4827,KAFKA-6167,KAFKA-6120,KAFKA-6101,KAFKA-2105,KAFKA-5960,KAFKA-5787,KAFKA-5733,KAFKA-6087,KAFKA-6179,KAFKA-5700,KAFKA-5212,KAFKA-6289,KAFKA-5630,KAFKA-5986,KAFKA-5534,KAFKA-6122,KAFKA-6069,KAFKA-5862,KAFKA-5956,KAFKA-6023,KAFKA-6053,KAFKA-6100,KAFKA-5506,KAFKA-6190,KAFKA-5893,KAFKA-5872,KAFKA-2903,KAFKA-5442,KAFKA-5163,KAFKA-5658,KAFKA-5756,KAFKA-5567,KAFKA-6308,KAFKA-6130,KAFKA-5374,KAFKA-5711,KAFKA-5548,KAFKA-5360,KAFKA-5731,KAFKA-5959,KAFKA-5701,KAFKA-5226,KAFKA-6015,KAFKA-5263,KAFKA-6259,KAFKA-6261,KAFKA-4603,KAFKA-5656,KAFKA-5294,KAFKA-5309,KAFKA-5698,KAFKA-5829,KAFKA-6322,KAFKA-6194,KAFKA-6075,KAFKA-5206,KAFKA-6214,KAFKA-6005,KAFKA-5579,KAFKA-5563,KAFKA-6260,KAFKA-5417,KAFKA-6185,KAFKA-5535,KAFKA-5979,KAFKA-5475,KAFKA-5169,KAFKA-5481,KAFKA-5472,KAFKA-5556,KAFKA-5448,KAFKA-5005,KAFKA-5422,KAFKA-4925,KAFKA-6008,KAFKA-5908,KAFKA-6003,KAFKA-6016,KAFKA-5953,KAFKA-5989,KAFKA-5073,KAFKA-4840,KAFKA-6349,KAFKA-5464,KAFKA-5587,KAFKA-4942,KAFKA-5014,KAFKA-4810,KAFKA-6026,KAFKA-5225,KAFKA-5098,KAFKA-5790,KAFKA-5607,KAFKA-5818,KAFKA-4913,KAFKA-5967,KAFKA-5154,KAFKA-5620,KAFKA-5198,KAFKA-5055,KAFKA-4607,KAFKA-5737,KAFKA-5152,KAFKA-5704,KAFKA-5457,KAFKA-5368,KAFKA-5792,KAFKA-5659,KAFKA-5735,KAFKA-5216,KAFKA-5562,KAFKA-5730,KAFKA-5980,KAFKA-5720,KAFKA-4891,KAFKA-4741,KAFKA-5239,KAFKA-5595,KAFKA-5717,KAFKA-4856,KAFKA-5668,KAFKA-4576,KAFKA-5957,KAFKA-5078,KAFKA-4476,KAFKA-5203,KAFKA-5236,KAFKA-5804,KAFKA-5491,KAFKA-4830,KAFKA-5329,KAFKA-5167,KAFKA-5611,KAFKA-5075,KAFKA-5512,KAFKA-4758,KAFKA-5144,KAFKA-4837,KAFKA-4944,KAFKA-5456,KAFKA-5771,KAFKA-4791,KAFKA-5003,KAFKA-4597,KAFKA-4919,KAFKA-4848,KAFKA-4902,KAFKA-5038,KAFKA-5325,KAFKA-4841,KAFKA-5385,KAFKA-5334,KAFKA-5164,KAFKA-5345,KAFKA-5316,KAFKA-5211,KAFKA-5353,KAFKA-4777,KAFKA-4700,KAFKA-4761,KAFKA-5498,KAFKA-4725,KAFKA-5241,KAFKA-4728,KAFKA-5174,KAFKA-4633,KAFKA-4855,KAFKA-5412,KAFKA-4903,KAFKA-5172,KAFKA-4863,KAFKA-5404,KAFKA-4749,KAFKA-5324,KAFKA-5040,KAFKA-5047,KAFKA-4851,KAFKA-5100,KAFKA-5394,KAFKA-2857,KAFKA-5349,KAFKA-4557,KAFKA-4716,KAFKA-5293,KAFKA-4547,KAFKA-4776,KAFKA-4484,KAFKA-5213,KAFKA-4671,KAFKA-5205,KAFKA-5086,KAFKA-4699,KAFKA-5230,KAFKA-4724,KAFKA-5042,KAFKA-4564,KAFKA-4783,KAFKA-4929,KAFKA-4901,KAFKA-4757,KAFKA-4672
clients/src/main/java/org/apache/kafka/clients/admin/AlterConfigsResult.java,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/Config.java,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/CreateAclsResult.java,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/CreateTopicsResult.java,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/DeleteTopicsResult.java,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/DescribeAclsResult.java,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/DescribeClusterResult.java,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/DescribeConfigsResult.java,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/DescribeTopicsResult.java,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/common/acl/AccessControlEntryFilter.java,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
