,LLOC,c274029bea8dba55164c6b5736e68fee5ac4a397,35193c2ddcbe8f24ea09eeabd9e90f7bc52097d5,9931acc489dd24db6e7e4993a694b26170a1be31,a7bc1a8c5a3a5ab9c72574afd98089a354bf0484,2e4ad087f811402b19af8d1b8d487d70b6ebc87a,d73f2930cbb57ad1a37667cecd73f38daca7a1cd,9e0c3167f85fcf1770a63d4856e32a848abfb6ef,8f692d13d45642f8b447d47af796f06487afeec2,397e3ac23029cbd60fbee0dbf60ce5bdf1cb5e54,d7e4046e6e725ed759d0c43e37c51c5c3122e006,8b3412a864b2bed1bdd633710ffa36b975d8e6bc,4cfec6e327702704527ef9162c9e4823041ee5d1,19fdd6c6339efd08c7c77d3c4e87f464b7c3a038,4d67a77bde35a8af1b7d62e7cd281bdf13b11b80,55c7f7528dccfb4f6209ef6429d0fb1080535613,c345618ec425f0e907a6e54565f2d0577139b45f,7a0991e91c5f2e0346664cfc48846f24f9c6b12d,d758a31bbee0807bcbc92a591668076cfa95aeb1,0e3036b9a4147adf06ac5495212b4542f42377c1,2aec79f13b04e022f0c30830a5e621cfcfffc88d,2465e63371717cef52ebe55b12b5a9379ebd345b,60af77262726e8a09202a2319add512c54e7a2f4,2352f9a4f47693cd8ca653f0b0629d186593fc4a,d2e60ef3508471ad7abebdac9e8cb5676908a047,e5e67028251e5cc1fdd10ed94103fadff0c41a4a,2de30d2e25921e9d134de64d6955d387b0d33fc0,620b85df36d0c802f333a56ca1ef7021a7935360,9e4d9544eb7da850366bbc6fb07983d457302201,602c66329c085dbe2b2a381b80ceb2f7dfa79686,c17dd1dd6bf914beb7b13528c95b487630f86905,5b3cf0e2028aed576d080be70fc9028796616b94,c6e5dfb3d2f430d9b899a273515f58c093295baa,30db93336cc50f5834e2e7e83f8a1cd26f5f46c6,439f1153991ec104acdb73420ddc816cd9c665e8,106a215cbd430a13e29ee590e948e198abf6445c,63037c71370cad1eba4152668f33b184c686d092,6199492f5e1e8811022257c88dbf63f1e1c739d0,b36692a6733e906be6fedbce8607397531666836,90360c84e9d7829ce728dbe937a5baaddf2253ac,f483e527f43ff66b50335424220cc0842a5872c9,9a9c4b32b9c1ab9c47583a217665e4694272d58a,1a718e0cc9a0c3811111e40f4bf8351e26f73522,517dbdf3261d42e90883d07320b7991ff8e2bcf8,b1ebe2f6a7fe054321e0554d0f6319189ddb8e67,7cc622e14f9bcdb5fb0547ee54c0966424eabcd9,a2e4800f33afb65f53cdfb52bacac280410a105c,6b04090c6089dcfd7674dbfadfc90b01572a9236,22fc7f0defb22588c4ade33b5693303f18d96253,e040ace189aa0379b998c8852a09c1a1a2308d82,bd8c8476b36a465159703c88b75eb08008650136,5dc48f2fc2f7a6f9d039251b9133df12bee99d52,cad81a5d47ccc0f2e6f16cdc32f2321ea1f3b543,ee559bf204448e9c658da48250e04394adf357e5,2dc7472499a8518adbd72cec53617fad842665a5,01bdc70b52f64a0d8ee81823eb61e5854e3f6291,9f54d5b3ec5a0fd36f91ec8af762e52859f4eeea,d35b433c397c03e78245c3e262ecaa31c78a564e,e9b823db993004511c909548e0a5da342d687ce9,76aedcb780c88344966f47536274ecb001682291,40492c388be9f73117b982f8db8e0c6039f46f99,6c648633cecc158f409e3a4ec45cf33bc68b4b1d,607e7d950a2f3399db161b5a6770b40bf1d60c1a,12e14ac0604298e09672287ba20ccb13a56d4fd7,3f0ecdf97cb9a8ddb7b17aee1deea74da3ed5b74,61985f17998d1deaa47d8e56b46136e0fc1f4108,ca38c854b0a2dba5ce856688a4056675df031b86,b8580b3dd3d47c8f0157d9860f8dab8d1dc8607c,da64358def60ec6a5595f916b493bc6fe3636adc,3926910e145df083ec9d42cd397c0cbd9b3a16da
src/java/org/apache/nutch/crawl/AbstractFetchSchedule.java,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/AdaptiveFetchSchedule.java,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/CrawlDatum.java,428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/CrawlDb.java,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/CrawlDbFilter.java,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/CrawlDbMerger.java,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/CrawlDbReader.java,868,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/CrawlDbReducer.java,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/DeduplicationJob.java,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/DefaultFetchSchedule.java,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/FetchSchedule.java,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
src/java/org/apache/nutch/crawl/FetchScheduleFactory.java,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/Generator.java,786,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
src/java/org/apache/nutch/crawl/Injector.java,454,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
src/java/org/apache/nutch/crawl/Inlink.java,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/Inlinks.java,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/java/org/apache/nutch/crawl/LinkDb.java,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
