,LLOC,WW-4873,WW-4903,WW-4900,WW-4800,WW-4846,WW-4901,WW-4818,WW-4786,WW-4741,WW-4694,WW-4472,WW-4810,WW-3171,WW-4105,WW-4869,WW-4871,WW-4849,WW-4827,WW-4862,WW-4733,WW-4843,WW-4730,WW-4839,WW-4831,WW-4801,WW-4788,WW-3650,WW-4663,WW-4528,WW-4734,WW-4581,WW-4722,WW-4735,WW-4758,WW-4731,WW-4794,WW-4728,WW-4737
core/src/main/java/org/apache/struts2/factory/PrefixBasedActionProxyFactory.java,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/rest-showcase/src/main/java/org/demo/rest/example/IndexController.java,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/rest-showcase/src/main/java/org/demo/rest/example/Order.java,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/rest-showcase/src/main/java/org/demo/rest/example/OrdersController.java,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/rest-showcase/src/main/java/org/demo/rest/example/OrdersService.java,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/DateAction.java,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/DynamicTreeSelectAction.java,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/LotsOfOptiontransferselectAction.java,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/LotsOfRichtexteditorAction.java,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/MoreSelectsAction.java,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/ShowAjaxDynamicTreeAction.java,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/ShowDynamicTreeAction.java,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/UITagExample.java,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/action/AbstractCRUDAction.java,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/action/EmployeeAction.java,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/action/ExampleAction.java,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/action/JSPEvalAction.java,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/action/SkillAction.java,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/actionchaining/ActionChain1.java,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/actionchaining/ActionChain2.java,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/actionchaining/ActionChain3.java,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apps/showcase/src/main/java/org/apache/struts2/showcase/ajax/AjaxTestAction.java,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
